,area,region,year,price,totalnum,highincomeratio,population,wagemoney,wageaverage
0,경기 북부,경기 가평군,2016,212.2431728,13,5.06,63517,369899,28.16561334
1,경기 북부,경기 가평군,2017,252.1509986,13,5.0,64016,402871,28.79089545
2,경기 북부,경기 가평군,2018,214.7708736,14,4.7,63936,449246,30.06598849
3,경기 북부,경기 가평군,2019,245.7003563,15,4.6,63462,468865,29.9728313
4,경기 북부,경기 가평군,2020,241.4759855,16,5.77,63380,498275,30.53342729
5,경기 북부,경기 가평군,2021,268.0288519,17,5.92,63268,527344,30.7435434
6,경기 북부,경기 고양시,2016,406.8243703,211,7.95,1051970,5448623,25.80964719
7,경기 북부,경기 고양시,2017,418.4595601,216,7.67,1054236,5940086,27.4211814
8,경기 북부,경기 고양시,2018,433.2659704,227,7.59,1056853,6515148,28.63851672
9,경기 북부,경기 고양시,2019,451.616593,236,7.86,1078859,7017450,29.68514696
10,경기 북부,경기 고양시,2020,532.8674544,241,9.2,1090738,7390880,30.65572207
11,경기 북부,경기 고양시,2021,673.7873685,247,9.3,1090339,7783838,31.49795647
12,경기 남부,경기 과천시,2016,1073.083453,48,18.27,64013,1800039,37.1970367
13,경기 남부,경기 과천시,2017,1103.290714,46,19.84,57738,1792979,38.75705763
14,경기 남부,경기 과천시,2018,1387.3137,47,18.2,58325,1907422,39.87919716
15,경기 남부,경기 과천시,2019,1664.306821,47,20.83,58462,1955662,41.09137898
16,경기 남부,경기 과천시,2020,1805.389539,46,16.66,63397,1993436,43.27253783
17,경기 남부,경기 과천시,2021,2157.179435,46,17.85,73528,2123723,45.69111446
18,경기 남부,경기 광명시,2016,523.7139603,62,6.21,345403,2117676,33.71988153
19,경기 남부,경기 광명시,2017,590.0157399,66,6.1,338633,2297292,34.72695116
20,경기 남부,경기 광명시,2018,653.5550732,69,5.66,333114,2462691,35.30841028
21,경기 남부,경기 광명시,2019,746.8497091,73,5.62,322494,2667792,36.39155345
22,경기 남부,경기 광명시,2020,1004.775433,74,6.75,303068,2777393,37.23446214
23,경기 남부,경기 광명시,2021,1162.295804,80,6.92,296471,3215020,40.14710106
24,경기 남부,경기 광주시,2016,296.9527705,105,2.97,339837,2851522,27.12428658
25,경기 남부,경기 광주시,2017,308.7990241,108,2.88,358371,3105064,28.61071797
26,경기 남부,경기 광주시,2018,331.3361382,112,2.93,376819,3370726,30.03007706
27,경기 남부,경기 광주시,2019,354.5628095,116,3.11,385640,3654946,31.27842057
28,경기 남부,경기 광주시,2020,472.1561517,118,3.91,393954,3799877,31.98926641
29,경기 남부,경기 광주시,2021,500.3970682,119,4.07,398225,4014107,33.47041608
30,경기 북부,경기 구리시,2016,446.027642,35,10.51,195153,887689,25.27156522
31,경기 북부,경기 구리시,2017,512.1192871,37,10.02,201459,988309,26.60463551
32,경기 북부,경기 구리시,2018,538.1788599,39,9.99,204977,1092995,27.67146004
33,경기 북부,경기 구리시,2019,618.6482754,40,8.77,200755,1176512,28.72063275
34,경기 북부,경기 구리시,2020,806.1535219,42,8.42,198856,1249777,29.43560695
35,경기 북부,경기 구리시,2021,907.1233812,42,8.92,193351,1284017,30.2755653
36,경기 남부,경기 군포시,2016,431.0293775,69,6.46,291662,2028159,29.01971698
37,경기 남부,경기 군포시,2017,450.2788893,71,6.25,287988,2187947,30.47449719
38,경기 남부,경기 군포시,2018,463.0221908,73,6.03,283876,2328754,31.7901275
39,경기 남부,경기 군포시,2019,471.8004438,73,6.15,282862,2414213,32.76485757
40,경기 남부,경기 군포시,2020,585.2596119,74,6.39,280039,2526013,33.94859355
41,경기 남부,경기 군포시,2021,825.9853847,75,6.5,274100,2689209,35.51517433
42,경기 남부,경기 김포시,2016,325.3747126,127,3.07,381278,3444104,26.9339965
43,경기 남부,경기 김포시,2017,362.6157221,135,2.79,410432,3873103,28.49189698
44,경기 남부,경기 김포시,2018,373.4456637,145,2.82,443019,4323919,29.66403683
45,경기 남부,경기 김포시,2019,387.7326798,154,3.01,457556,4772340,30.79823174
46,경기 남부,경기 김포시,2020,499.0578031,161,4.06,492766,5111415,31.74653897
47,경기 남부,경기 김포시,2021,607.6964099,167,4.51,504267,5533964,33.13373928
48,경기 북부,경기 남양주시,2016,323.635323,114,3.37,668696,2743191,23.91789314
49,경기 북부,경기 남양주시,2017,330.5872524,121,3.27,672120,3058187,25.1355081
